arc_length;U_1;U_1;U_1
0;0.0584904;0.0898859;0.118448
0.000299998;0.0584919;0.0898868;0.118446
0.000600003;0.0584934;0.0898878;0.118444
0.0009;0.058495;0.0898887;0.118442
0.0012;0.0584974;0.0898901;0.118439
0.0015;0.0585002;0.0898918;0.118435
0.0018;0.0585031;0.0898935;0.118431
0.0021;0.0585058;0.0898951;0.118428
0.0024;0.0585085;0.0898968;0.118424
0.0027;0.0585112;0.0898984;0.118421
0.003;0.0585139;0.0899001;0.118418
0.0033;0.0585168;0.0899021;0.118415
0.0036;0.0585197;0.089904;0.118413
0.0039;0.0585226;0.089906;0.11841
0.0042;0.0585258;0.0899083;0.118408
0.0045;0.058529;0.0899106;0.118405
0.0048;0.0585322;0.089913;0.118403
0.0051;0.0585356;0.0899155;0.118401
0.0054;0.0585392;0.0899184;0.1184
0.0057;0.0585428;0.0899213;0.118399
0.006;0.0585465;0.0899241;0.118397
0.0063;0.0585506;0.0899276;0.118396
0.0066;0.0585547;0.0899311;0.118396
0.0069;0.0585588;0.0899346;0.118395
0.0072;0.0585632;0.0899385;0.118395
0.0075;0.0585679;0.0899427;0.118395
0.0078;0.0585726;0.0899469;0.118395
0.0081;0.0585775;0.0899513;0.118396
0.0084;0.0585828;0.0899563;0.118398
0.0087;0.0585882;0.0899613;0.118399
0.009;0.0585935;0.0899664;0.118401
0.0093;0.0585996;0.0899723;0.118403
0.0096;0.0586056;0.0899782;0.118406
0.0099;0.0586117;0.0899842;0.118409
0.0102;0.0586183;0.0899908;0.118412
0.0105;0.0586252;0.0899978;0.118416
0.0108;0.0586322;0.0900048;0.118421
0.0111;0.0586394;0.0900121;0.118425
0.0114;0.0586472;0.0900203;0.118431
0.0117;0.058655;0.0900284;0.118437
0.012;0.0586628;0.0900365;0.118442
0.0123;0.0586717;0.0900459;0.11845
0.0126;0.0586805;0.0900554;0.118458
0.0129;0.0586894;0.0900648;0.118465
0.0132;0.0586989;0.0900751;0.118474
0.0135;0.0587089;0.0900859;0.118484
0.0138;0.0587188;0.0900968;0.118493
0.0141;0.0587291;0.0901081;0.118503
0.0144;0.0587403;0.0901204;0.118515
0.0147;0.0587514;0.0901327;0.118527
0.015;0.0587625;0.0901451;0.118539
0.0153;0.0587749;0.090159;0.118553
0.0156;0.0587873;0.090173;0.118567
0.0159;0.0587997;0.090187;0.118581
0.0162;0.058813;0.0902021;0.118597
0.0165;0.0588268;0.0902179;0.118613
0.0168;0.0588405;0.0902336;0.11863
0.0171;0.0588548;0.09025;0.118647
0.0174;0.05887;0.0902677;0.118667
0.0177;0.0588852;0.0902853;0.118686
0.018;0.0589004;0.090303;0.118706
0.0183;0.0589171;0.0903227;0.118728
0.0186;0.0589339;0.0903424;0.11875
0.0189;0.0589506;0.0903621;0.118773
0.0192;0.0589684;0.0903832;0.118797
0.0195;0.0589868;0.0904051;0.118823
0.0198;0.0590051;0.0904269;0.118848
0.0201;0.0590241;0.0904495;0.118875
0.0204;0.0590441;0.0904737;0.118904
0.0207;0.0590642;0.0904978;0.118933
0.021;0.0590842;0.090522;0.118963
0.0213;0.059106;0.0905486;0.118995
0.0216;0.0591278;0.0905752;0.119028
0.0219;0.0591496;0.0906019;0.119061
0.0222;0.0591727;0.0906302;0.119096
0.0225;0.0591963;0.0906594;0.119133
0.0228;0.05922;0.0906886;0.11917
0.0231;0.0592443;0.0907187;0.119208
0.0234;0.0592698;0.0907507;0.119249
0.0237;0.0592954;0.0907826;0.11929
0.024;0.059321;0.0908145;0.119331
0.0243;0.0593485;0.0908493;0.119377
0.0246;0.0593761;0.0908842;0.119422
0.0249;0.0594036;0.090919;0.119468
0.0252;0.0594325;0.0909558;0.119516
0.0255;0.0594621;0.0909937;0.119567
0.0258;0.0594917;0.0910315;0.119617
0.0261;0.059522;0.0910704;0.119669
0.0264;0.0595537;0.0911114;0.119724
0.0267;0.0595854;0.0911525;0.11978
0.027;0.0596171;0.0911935;0.119835
0.0273;0.0596509;0.0912379;0.119896
0.0276;0.0596848;0.0912822;0.119957
0.0279;0.0597186;0.0913266;0.120017
0.0282;0.0597539;0.0913733;0.120082
0.0285;0.05979;0.0914211;0.120149
0.0288;0.0598261;0.091469;0.120215
0.0291;0.0598629;0.0915181;0.120284
0.0294;0.0599012;0.0915696;0.120357
0.0297;0.0599395;0.0916211;0.120429
0.03;0.0599778;0.0916725;0.120502
0.0303;0.0600184;0.0917278;0.120581
0.0306;0.060059;0.0917831;0.12066
0.0309;0.0600996;0.0918384;0.120739
0.0312;0.0601417;0.0918963;0.120822
0.0315;0.0601846;0.0919556;0.120908
0.0318;0.0602275;0.0920149;0.120994
0.0321;0.0602712;0.0920755;0.121082
0.0324;0.0603164;0.0921388;0.121174
0.0327;0.0603617;0.0922022;0.121267
0.033;0.060407;0.0922656;0.12136
0.0333;0.0604546;0.0923332;0.12146
0.0336;0.0605022;0.0924009;0.121561
0.0339;0.0605498;0.0924685;0.121661
0.0342;0.060599;0.0925391;0.121766
0.0345;0.060649;0.0926112;0.121875
0.0348;0.060699;0.0926833;0.121983
0.0351;0.0607498;0.0927569;0.122094
0.0354;0.0608021;0.0928336;0.12221
0.0357;0.0608545;0.0929103;0.122327
0.036;0.0609069;0.0929869;0.122443
0.0363;0.0609616;0.0930684;0.122569
0.0366;0.0610163;0.0931499;0.122694
0.0369;0.0610711;0.0932313;0.122819
0.0372;0.0611274;0.093316;0.122951
0.0375;0.0611845;0.0934024;0.123085
0.0378;0.0612415;0.0934888;0.12322
0.0381;0.0612994;0.0935768;0.123357
0.0384;0.0613588;0.0936683;0.123501
0.0387;0.0614182;0.0937597;0.123645
0.039;0.0614776;0.0938512;0.123789
0.0393;0.0615393;0.0939479;0.123943
0.0396;0.061601;0.0940446;0.124097
0.0399;0.0616627;0.0941413;0.124251
0.0402;0.0617259;0.0942416;0.124412
0.0405;0.0617898;0.0943437;0.124577
0.0408;0.0618538;0.0944458;0.124742
0.0411;0.0619185;0.0945497;0.12491
0.0414;0.0619846;0.0946574;0.125086
0.0417;0.0620507;0.094765;0.125262
0.042;0.0621169;0.0948727;0.125438
0.0423;0.0621851;0.0949861;0.125625
0.0426;0.0622533;0.0950994;0.125812
0.0429;0.0623216;0.0952128;0.126
0.0432;0.0623911;0.0953301;0.126195
0.0435;0.0624614;0.0954493;0.126394
0.0438;0.0625317;0.0955685;0.126594
0.0441;0.0626026;0.0956897;0.126797
0.0444;0.0626747;0.0958149;0.12701
0.0447;0.0627469;0.0959402;0.127222
0.045;0.0628191;0.0960654;0.127434
0.0453;0.0628931;0.0961967;0.12766
0.0456;0.062967;0.0963281;0.127885
0.0459;0.063041;0.0964595;0.128111
